LMA-32 electrode tested on 6/6/2012 at 11:37:46 AM
69% of sites good
Site	1004 Hz|Mag (MOhm)	1004 Hz|Phase(°)	
1	0.324	-68.3	
2	0.283	-70.0	
3	0.229	-70.5	
4	0.152	-68.9	
5	0.193	-69.8	
6	0.174	-65.7	
7	0.163	-68.8	
8	0.319	-67.0	
9	0.259	-65.6	
10	0.265	-67.5	
11	0.268	-66.2	
12	0.160	-68.9	
13	0.155	-65.8	
14	0.311	-68.2	
15	0.435	-66.3	
16	0.194	-67.5	
17	1.081	-41.1	
18	1.160	-59.6	
19	0.953	-63.9	
20	1.384	-52.9	
21	0.548	-65.2	
22	0.961	-45.8	
23	0.458	-68.2	
24	19.784	-89.7	
25	0.573	-51.3	
26	33.303	-83.9	
27	0.827	-61.6	
28	0.968	-58.1	
29	3.563	-59.5	
30	0.567	-57.7	
31	8.926	-51.0	
32	1.038	-68.5	
Average	0.762±0.719	-62.0±8.0	
