MEA-32 electrode tested on 3/22/2012 at 9:28:14 AM
94% of sites good
Site	1004 Hz|Mag (MOhm)	1004 Hz|Phase(°)	
1	0.009	-39.7	
2	1.149	-25.4	
3	0.012	-39.3	
4	0.864	-25.3	
6	4.638	-63.7	
6	2.565	-67.8	
7	3.583	-70.5	
8	3.438	-71.2	
9	3.058	-71.6	
10	1.310	-75.6	
11	1.312	-75.9	
12	4.257	-68.1	
13	3.735	-75.3	
14	1.313	-75.9	
15	3.026	-67.0	
16	4.385	-79.6	
17	2.119	-71.0	
18	2.959	-73.4	
19	2.205	-60.0	
20	1.219	-57.6	
21	2.270	-72.3	
22	1.832	-64.9	
23	3.920	-76.7	
24	3.133	-75.1	
25	3.429	-77.5	
26	2.685	-57.8	
27	3.204	-75.5	
28	4.046	-76.9	
29	3.210	-74.4	
30	2.625	-72.1	
31	2.870	-75.1	
32	3.250	-76.6	
Average	2.787±1.045	-68.3±13.0	
