MEA-32 electrode tested on 3/15/2012 at 3:17:55 PM
94% of sites good
Site	1004 Hz|Mag (MOhm)	1004 Hz|Phase(°)	
1	0.972	-59.7	
2	2.053	-83.0	
3	1.978	-80.5	
4	1.856	-83.3	
6	1.259	-79.1	
6	1.879	-80.7	
7	1.764	-81.1	
8	0.178	-48.4	
9	1.782	-80.0	
10	2.236	-82.7	
11	1.414	-76.5	
12	0.523	-55.7	
13	1.199	-81.6	
14	0.701	-57.0	
15	1.358	-49.3	
16	0.123	-24.1	
17	1.883	-83.9	
18	2.298	-84.7	
19	1.317	-81.8	
20	1.294	-79.2	
21	1.796	-78.2	
22	1.485	-81.6	
23	1.527	-82.5	
24	1.231	-81.8	
25	1.495	-80.6	
26	1.049	-83.1	
27	1.113	-81.2	
28	1.709	-82.9	
29	0.321	-84.5	
30	1.176	-82.4	
31	0.283	-84.2	
32	1.442	-79.5	
Average	1.413±0.516	-78.1±9.3	
