MEA-32 electrode tested on 3/15/2012 at 3:13:38 PM
94% of sites good
Site	1004 Hz|Mag (MOhm)	1004 Hz|Phase(°)	
1	1.655	-83.6	
2	1.017	-50.7	
3	1.662	-72.9	
4	1.425	-48.0	
6	2.200	-83.3	
6	1.438	-46.7	
7	20.096	-85.9	
8	1.492	-77.6	
9	2.042	-77.1	
10	1.036	-78.7	
11	0.546	-56.4	
12	2.385	-82.0	
13	1.842	-69.2	
14	1.666	-63.0	
15	0.356	-43.9	
16	1.481	-80.1	
17	0.900	-46.5	
18	23.899	-91.7	
19	1.139	-75.8	
20	1.342	-81.2	
21			
22	1.020	-79.5	
23	0.269	-36.9	
24	1.304	-81.8	
25	2.097	-84.0	
26	1.452	-79.0	
27	1.063	-66.3	
28	2.100	-77.8	
29	0.999	-39.6	
30	1.798	-85.2	
31	1.952	-80.9	
32	0.883	-40.3	
Average	1.399±0.544	-67.9±16.4	
