MEA-32 electrode tested on 3/28/2012 at 7:08:21 PM
84% of sites good
Site	1004 Hz|Mag (MOhm)	1004 Hz|Phase(°)	
1	0.073	-25.8	
2	2.401	-48.3	
3	0.066	-31.6	
4	1.581	-30.5	
6	3.314	-72.5	
6	2.847	-70.0	
7	2.745	-66.4	
8	3.901	-70.5	
9	3.079	-70.0	
10	0.038	-72.7	
11	0.038	-74.1	
12	4.045	-67.0	
13	4.151	-75.0	
14	0.039	-74.5	
15	2.973	-73.0	
16	4.839	-77.0	
17	2.393	-72.6	
18	2.836	-73.3	
19	3.242	-58.5	
20	1.281	-57.8	
21	2.359	-71.8	
22	1.868	-63.7	
23	3.435	-74.9	
24	3.050	-74.7	
25	3.215	-74.4	
26	2.899	-55.1	
27	3.405	-74.7	
28	3.866	-75.5	
29	3.220	-73.2	
30	2.643	-74.0	
31	2.860	-74.9	
32	3.440	-76.7	
Average	3.033±0.780	-68.4±10.5	
